indicator_orig,indic_id,indicator_harmonized
 environmental awareness,IPBES_VA_2_10_12_8,environmental awareness
 inclusion of historically disadvantaged stakeholders,IPBES_VA_2_10_12_9,inclusion of historically disadvantaged stakeholders
Willingness-to-pay,IPBES_VA_2_18_19_10,willingness to pay to protect nature or improve ecosystem services
gross national happiness INDEX,IPBES_VA_2_29_20_11,gross national happiness index
 Willingness-to-give-up-time,IPBES_VA_2_37_25_12,willingness to allocate time for nature´s contributions to people conservation
Genetic diversity,IPBES_VA_2_38_28_13,genetic diversity
 number of rare or threatened species,IPBES_VA_2_38_28_14,number of rare or threatened species
 structural and functional connectivity of habitat,IPBES_VA_2_38_28_15,structural and functional connectivity of habitat
 proportion of population exposed to air pollution,IPBES_VA_2_38_28_16,proportion of population exposed to air pollution
 photo-rankings,IPBES_VA_2_38_28_17,photo-rankings
 spatial densities of relational values in an area,IPBES_VA_2_38_28_18,spatial densities of relational values in an area
 ethnographic accounts,IPBES_VA_2_38_28_19,ethnographic accounts
 themes in a text representing nature´s values,IPBES_VA_2_38_28_20,themes in a text representing nature´s values
 benefits derived from healthy ecosystems and costs caused by its depletion,IPBES_VA_2_38_28_21,benefits derived from healthy ecosystems and costs caused by its depletion
 stock values of natural capital,IPBES_VA_2_38_28_22,stock values of natural capital
Gross domestic product (GDP),IPBES_VA_2_38_29_23,gross domestic product
 Index of sustainable economic welfare (ISEW),IPBES_VA_2_38_29_24,index of sustainable economic welfare (isew)
 genuine progress indicator (GPI),IPBES_VA_2_38_29_25,genuine progress indicator
 Sustainable Development Goals index,IPBES_VA_2_38_29_26,sustainable development goals index
 planetary pressures adjusted human development index,IPBES_VA_2_38_29_27,planetary pressures adjusted human development index (hdi)
 sustainable well-being index (SWI),IPBES_VA_2_38_29_28,sustainable well-being index (swi)
 ecological footprint,IPBES_VA_2_38_29_29,ecological footprint
 human appropriation of net primary production,IPBES_VA_2_38_29_30,human appropriation of net primary productivity
INDEX of Sustainable Economic Welfare,IPBES_VA_2_39_33_31,index of sustainable economic welfare (isew)
 United Nations System of Environmental Economic Accounting,IPBES_VA_2_39_33_32,united nations system of environmental economic accounting
 inclusive wealth,IPBES_VA_2_39_33_33,inclusive wealth
willingness to allocate time for nature´s contributions to people conservation,IPBES_VA_2_63_45_34,willingness to allocate time for nature´s contributions to people conservation
 willingness to pay for nature´s contributions to people conservation,IPBES_VA_2_63_45_35,willingness to pay to protect nature or improve ecosystem services
hectares of mangroves,IPBES_VA_2_76_48_36,mangrove forest area
 reduced cost of road construction,IPBES_VA_2_76_48_37,reduced cost of road construction
 reduced cost of road maintenance,IPBES_VA_2_76_48_38,reduced cost of road maintenance
 fewer lives lost,IPBES_VA_2_76_48_39,fewer lives lost
livelihood dependence,IPBES_VA_3_2_52_40,livelihood dependence
 use of natural resource,IPBES_VA_3_2_52_41,use of natural resource
 peoples’ preferences or spending on safeguarding biodiversity and ecosystem services,IPBES_VA_3_2_52_42,peoples’ preferences or spending on safeguarding biodiversity and ecosystem services
appearance of new grass in grazing areas,IPBES_VA_3_6_54_43,appearance of new grass in grazing areas
Biodiversity Intactness INDEX,IPBES_VA_3_26_59_44,biodiversity intactness index
 rate of use of pesticides,IPBES_VA_3_26_59_45,rate of use of pesticides
 rate of wood removal,IPBES_VA_3_26_59_46,rate of wood removal
management effectiveness in National Protected Areas,IPBES_VA_3_27_60_47,number of protected area management effectiveness (pame) assessments
 corruption perception INDEX,IPBES_VA_3_27_60_48,corruption perception index
