indicator_orig,indic_id,indicator_harmonized
Wet bulb globe temperature (WBGT) Index,IPCC_12_49_649_392,wet bulb globe temperature (wbgt) index
 maximum temperatures,IPCC_12_49_649_393,maximum temperatures
 Heat Index (hi),IPCC_12_49_649_394,heat index (hi)
cooling degree day INDEX,IPCC_12_54_662_395,cooling degree day index
Heat stress index,IPCC_12_54_663_396,heat stress index
 wet bulb globe temperature (WBGT) index,IPCC_12_54_663_397,wet bulb globe temperature (wbgt) index
Heating degree day Index,IPCC_12_56_664_398,heating degree day index
Standardized Precipitation INDEX,IPCC_12_57_665_399,standardized precipitation index (spi)
 consecutive dry days (cdd),IPCC_12_57_665_400,consecutive dry days (cdd)
Drought Severity INDEX,IPCC_12_57_666_401,drought severity index
 Standardized Precipitation Index,IPCC_12_57_666_402,standardized precipitation index (spi)
shoreline change (indicator of coastal erosion),IPCC_12_60_671_403,shoreline change (indicator of coastal erosion)
 humidity,IPCC_12_62_673_404,humidity
Monthly Drought Code fire INDEX,IPCC_12_66_682_405,monthly drought code fire index
 fire Weather INDEX (FWI),IPCC_12_66_682_406,fire weather index (fwi)
 maximum fire weather INDEX,IPCC_12_66_682_407,maximum fire weather index
convective available potential energy and wind shear,IPCC_12_66_684_408,convective available potential energy and wind shear
Degree heating weeks,IPCC_12_70_691_409,degree heating weeks
 Degree heating months,IPCC_12_70_691_410,degree heating months
Wet bulb globe temperature (WBGT) index,IPCC_12_71_692_411,wet bulb globe temperature (wbgt) index
 maximum daytime heat index,IPCC_12_71_692_412,maximum daytime heat index
Regional deficit index,IPCC_12_72_695_413,regional deficit index
Tide gauges,IPCC_12_73_700_414,tide gauge
Fire weather index (fwi),IPCC_12_79_710_415,fire weather index (fwi)
fire risk,IPCC_12_85_722_416,fire risk
Heat Index (hi),IPCC_12_85_724_417,heat index (hi)
Standardized Precipitation Evapotranspiration Index SPEI,IPCC_12_85_726_418,standardized precipitation evapotranspiration index (spei)
Wet bulb temperature,IPCC_12_88_731_419,wet bulb temperature
