Indicators harmonized,Sources,Elements,Subelements,Frequency of use,MEA/assess,Indicators original name,Elements_2,Subelements_2
climatic impact-driver (cid) spatial extent,IPCC,ecosystems,Abiotic conditions,1,assessment,climatic impact-driver (cid) spatial extent,,
climatic impact-driver (cid) timing,IPCC,ecosystems,Abiotic conditions,1,assessment,climatic impact-driver (cid) timing,,
clorophyll concentration,IPCC,ecosystems,State of ecosystems (marine),1,assessment,Clorophyll concentration,,
cms connectivity indicator,GBF,biodiversity,State of biodiversity,1,mea,CMS Connectivity Indicator,,
"cms national report format question, to ask about progress in implementing target 4",CMS,Governance,Nature-based legislation,1,mea,"CMS National Report Format question, to ask about progress in implementing target 4",,
co2 concentration,IPCC;GEO,ecosystems,Abiotic conditions,2,assessment,CO2 Concentration,Direct drivers,Climate change
co2 emission per unit of value added,GBF;SDG;IPBES,Direct drivers,Climate change,3,both,CO2 emission per unit of value added,,
co2 emissions,IPBES,Direct drivers,Climate change,1,assessment,CO2 emissions,,
coastal carbon-rich habitat,IPBES,ecosystems,State of ecosystems,1,assessment,Coastal carbon-rich habitat,,
coastal protection habitats,IPBES,ecosystems,Area conservation,1,assessment,Coastal protection habitats,,
cold season temperatures,IPCC,ecosystems,Abiotic conditions,1,assessment,cold season temperatures,,
cold spell duration index: annual count of days with at least six consecutive days when tn <10th percentile,IPCC,Direct drivers,Climate change,1,assessment,Cold spell duration index: annual count of days with at least six consecutive days when TN <10th percentile,ecosystems,Abiotic conditions
combined extreme index (cei),IPCC,ecosystems,Abiotic conditions,1,assessment,Combined extreme index (CEI),,
combined sea level due to storm surge and tide,IPCC,ecosystems,Abiotic conditions,1,assessment,combined sea level due to storm surge and tide,ecosystems,State of ecosystems
commercial trade in wild-collected specimens,IPBES,Ecosystem services,Nature contribution,1,assessment,commercial trade in wild-collected specimens,,
commodity index,IPBES,Human assets,State of economy,1,assessment,Commodity Index,,
community awareness,GEO,Knowledge systems,Specific information on human-nature relationship,1,assessment,community awareness,,
companies with policies for biodiversity-friendly practices,IPBES,Knowledge systems,Specific information on human-nature relationship,1,assessment,companies with policies for biodiversity-friendly practices,,
comparison of the number of available first records of established alien species for a region with the total number of species recorded for the same region,IPBES,Knowledge systems,Information on biodiversity,1,assessment,Comparison of the number of available first records of established alien species for a region with the total number of species recorded for the same region,,
complete phase-out of biomass use for cooking,GEO,Direct drivers,Specific mention of over-exploitation and unsustainable use of species/ecosystems,1,assessment,complete phase-out of biomass use for cooking,,
"completion rate (primary education, lower secondary education, upper secondary education)",SDG,Human assets,Coverage of basic needs,1,mea,"Completion rate (primary education, lower secondary education, upper secondary education)",Human well-being,Equity
comprehensiveness of conservation of socioeconomically as well as culturally valuable species,GBF,biodiversity,Species conservation,1,mea,Comprehensiveness of conservation of socioeconomically as well as culturally valuable species.,Human assets,Information on biodiversity
concentration of hydrogen ions (h+),IPBES,ecosystems,Abiotic conditions,1,assessment,concentration of hydrogen ions (H+),,
condition and size of wild animals,IPBES,biodiversity,State of biodiversity,1,assessment,condition and size of wild animals,,
"conflict-related deaths per 100,000 population, by sex, age and cause",SDG,Knowledge systems,Information on society and socio-economics,1,mea,"Conflict-related deaths per 100,000 population, by sex, age and cause",Governance,Broken governance
connection to land,IPBES,Knowledge systems,ILK,1,assessment,Connection to land,,
connection to sea,IPBES,Knowledge systems,ILK,1,assessment,Connection to sea,,
connectivity indicator,GBF,ecosystems,State of ecosystems (configuration),1,mea,Connectivity Indicator (in development),,
consecutive dry days (cdd),IPCC,ecosystems,Abiotic conditions,1,assessment,Consecutive dry days (CDD); Consecutive Dry Days (CDD); consecutive dry days (CDD); consecutive dry days (cdd),,
conservation status of species listed in the cites appendices has stabilized or improved,GBF,biodiversity,Species conservation,1,mea,Conservation status of species listed in the CITES Appendices has stabilized or improved,,
container port traffic (teu: 20 foot equivalent units),IPBES,Human assets,Infrastructure (build-up area),1,assessment,Container port traffic (TEU: 20 foot equivalent units),,
continuous global mangrove forest area,GBF,ecosystems,State of ecosystems (configuration),1,mea,"Continuous Global Mangrove Forest Cover
",,
contrast of mean precipitation between dry and wet regions and between dry and wet seasons,IPCC,ecosystems,Abiotic conditions,1,assessment,contrast of mean precipitation between dry and wet regions and between dry and wet seasons,,
convective available potential energy and wind shear,IPCC,ecosystems,Abiotic conditions,1,assessment,convective available potential energy and wind shear,,
convention of fishing and conservation of the living resources of the high seas,IPBES,Governance,National/international cooperation,1,assessment,Convention of fishing and conservation of the living resources of the high seas,,
convention on biological diversity,IPBES,Governance,National/international cooperation,1,assessment,Convention on Biological Diversity,,
convention on the conservation of antarctic marine living resources,IPBES,Governance,National/international cooperation,1,assessment,Convention on the Conservation of Antarctic Marine Living Resources,,
cooling degree day index,IPCC,ecosystems,Abiotic conditions,1,assessment,cooling degree day INDEX,,
cooling degree days,IPCC,ecosystems,Abiotic conditions,1,assessment,cooling degree days; Cooling degree days above 22°C,,
coral bleaching,GEO,ecosystems,Change in ecosystems,1,assessment,coral bleaching,Direct drivers,Climate change
correlation between high cultural diversity and areas of high biodiversity,IPBES,Knowledge systems,Specific information on human-nature relationship,1,assessment,Correlation between high cultural diversity and areas of high biodiversity,,
corruption perception index,IPBES,Governance,Broken governance,1,assessment,corruption perception INDEX,,
costs associated with maintaining ncps of past or future projects,IPBES,Governance,Nature-based funding,1,assessment,costs associated with maintaining NCPs of past or future projects,,
costs associated with protecting nature and biodiversity,IPBES,Governance,Nature-based funding,1,assessment,costs associated with protecting nature and biodiversity,,
cover of key benthic groups,GBF,biodiversity,State of biodiversity,1,mea,"Cover of key benthic groups
",,
coverage by protected areas of important sites for mountain biodiversity,IPBES,ecosystems,Area conservation,1,assessment,Percentage of mountain Key Biodiversity Areas covered by protected areas,,
coverage of essential health services,SDG,Human well-being,Wellness,1,mea,Coverage of essential health services,,
coverage of fisheries with management measures to reduce bycatch and discards,IPBES,biodiversity,Species conservation,1,assessment,Coverage of fisheries with management measures to reduce bycatch and discards,Ecosystem services,Specific mention of sustainable use of species/ecosystems
coverage of key habitats for migratory species in protected areas,CMS,ecosystems,Area conservation,1,mea,Coverage of key habitats for migratory species in protected areas,Governance,Nature-based legislation
coverage of protected areas and other effective area-based conservation measures,GBF,ecosystems,Area conservation,1,mea,Coverage of protected areas and other effective area-based conservation measures,,
coverage of protected areas and other effective area-based conservation measures and traditional territories (by governance type),GBF,ecosystems,Area conservation,1,mea,Coverage of Protected areas and OECMS and traditional territories (by governance type),,
coverage of protected areas in relation to marine areas,GEO,ecosystems,Area conservation,1,assessment,Coverage of marine protected areas,,
"coverage of treatment interventions (pharmacological, psychosocial and rehabilitation and aftercare services) for substance use disorders",SDG,Human well-being,Wellness,1,mea,"Coverage of treatment interventions (pharmacological, psychosocial and rehabilitation and aftercare services) for substance use disorders",,
coverage of wetland dependent bird populations by designated ramsar sites,RAMSAR,ecosystems,Area conservation,1,mea,Coverage of wetland dependent bird populations by designated Ramsar Sites. Indicator from Resolution IX.1 to be developed.,,
coverage of wetland dependent non-avian populations by designated ramsar sites,RAMSAR,ecosystems,Area conservation,1,mea,Coverage of wetland dependent non-avian populations by designated Ramsar Sites. Indicator from Resolution IX.1 to be developed.,,
"credit to agriculture, forestry and fishing",IPBES,Governance,Nature detrimental legislation,1,assessment,"Credit to Agriculture, Forestry and Fishing",,
crops and their dietary roles,IPBES,Knowledge systems,ILK,1,assessment,Crops and their dietary roles,Ecosystem services,Nature contribution
cross-natrional comparative information on access to and ownership of land,GEO,Human well-being,Equity,1,assessment,cross-natrional comparative information on access to and ownership of land,,
cultivated area,IPBES,ecosystems,State of ecosystems,1,assessment,Cultivated area,,
cultural continuity,IPBES,Knowledge systems,ILK,1,assessment,cultural continuity,,
cultural vitality index,GBF,Human well-being,Cultural diversity,1,mea,Cultural vitality index,,
culturally salient species,IPBES,Knowledge systems,ILK,1,assessment,culturally salient species; culturally salient wild species populations,,
cumulative ghg emissions,IPCC,Direct drivers,Climate change,1,assessment,cumulative GHG emissions,,
cumulative human impacts on marine ecosystems,IPBES,Direct drivers,Specific mention of over-exploitation and unsustainable use of species/ecosystems,1,assessment,Cumulative human impacts on marine ecosystems,,
cumulative introduced invasive aliens,IPBES,Direct drivers,Invasive alien species,1,assessment,Cumulative number of alien species; Cumulative introduced invasive aliens,,
cumulative storm energy and storm power index,IPCC,Ecosystem services,Nature contribution,1,assessment,cumulative storm energy and storm power index,ecosystems,Abiotic conditions
current distribution of species,IPBES,biodiversity,State of biodiversity,1,assessment,Current distribution of species,,
cyclical patterns of abundance,IPBES,Knowledge systems,ILK,1,assessment,cyclical patterns of abundance,biodiversity,State of biodiversity
