indicator_harmonized,indic_ids,source,Categories,Categories_2,Subcategories,Subcategories_2,policy,mea,assess
"biodiversity intactness index (tropical forest, hotspots)",IPBES_GA_2.2_37_70_187;IPBES_GA2.2_sup_45,IPBES,biodiversity,NA,State of biodiversity,NA,0,FALSE,TRUE
"biodiversity intactness index (tropical forest, indigenous lands)",IPBES_GA_2.2_37_70_185;IPBES_GA2.2_sup_46,IPBES,biodiversity,NA,State of biodiversity,NA,0,FALSE,TRUE
biofuel production,GBF_GB_CY_74;GEO_8_26_75_91,GBF,Ecosystem services,NA,Nature contribution,NA,1,TRUE,FALSE
biofuel production,GBF_GB_CY_74;GEO_8_26_75_91,GEO,Ecosystem services,NA,Nature contribution,NA,1,FALSE,TRUE
biological pump efficiency,IPBES_GA_2.2_37_70_182;IPBES_GA2.2_sup_28,IPBES,Ecosystem services,NA,Specific monetary valuation of nature contribution,NA,0,FALSE,TRUE
biomass abundance,IPBES_GA_4_34_176_363,IPBES,ecosystems,NA,State of ecosystems,NA,0,FALSE,TRUE
biomass of prey fish,IPBES_GA_2.2_1_50_124,IPBES,biodiversity,NA,State of biodiversity,NA,0,FALSE,TRUE
biomass of selected natural ecosystems,GBF_GA_CY_24,GBF,ecosystems,NA,State of ecosystems,NA,1,TRUE,FALSE
biomass turnover rate,IPBES_GA_2.2_37_70_175;IPBES_GA2.2_sup_29,IPBES,biodiversity,NA,Change in biodiversity,NA,0,FALSE,TRUE
biophysical inventories of biodiversity and ecosystem services,IPBES_VA_4_28_109_65,IPBES,Ecosystem services,NA,Nature contribution,NA,0,FALSE,TRUE
biotic productivity,IPBES_GA_2.3_56_155_357,IPBES,Ecosystem services,NA,Nature contribution,NA,0,FALSE,TRUE
biotime species richness indicator,IPBES_GA_2.2_45_85_217,IPBES,biodiversity,NA,State of biodiversity,NA,0,FALSE,TRUE
biotime-local species richness,IPBES_GA_1_52_19_56,IPBES,biodiversity,NA,State of biodiversity,NA,0,FALSE,TRUE
bird species per grid cell,IPBES_GA_2.2_37_70_190;IPBES_GA2.2_sup_48,IPBES,biodiversity,NA,State of biodiversity,NA,0,FALSE,TRUE
blocking index,IPCC_8_47_395_244,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
blood pressure,GEO_21_17_251_221,GEO,Human well-being,NA,Healthy living conditions,NA,0,FALSE,TRUE
blue water sustainability index,IPBES_GA_3_76_401_488,IPBES,ecosystems,Knowledge systems,Area conservation,Specific information on human-nature relationship,0,FALSE,TRUE
body condition,IPBES_SUA_2_97_80_35;IPBES_SUA_4_89_132_61,IPBES,Knowledge systems,biodiversity,ILK,State of biodiversity,0,FALSE,TRUE
body fat,IPBES_SUA_4_78_130_58,IPBES,biodiversity,NA,State of biodiversity,NA,0,FALSE,TRUE
body mass index,GEO_21_17_251_220,GEO,biodiversity,NA,State of biodiversity,NA,0,FALSE,TRUE
boron-isotope,IPCC_2_14_37_42,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
buffer zones to protect catchment areas,GEO_17_8_200_167,GEO,ecosystems,NA,Area conservation,NA,0,FALSE,TRUE
build up area,GEO_8_14_67_89;GEO_8_14_67_90,GEO,Human assets,NA,Infrastructure (build-up area),NA,0,FALSE,TRUE
business operations,GEO_17_20_212_187,GEO,Governance,NA,Legislation/governance,NA,0,FALSE,TRUE
by catch of vulnerable and non-target species,GBF_T5_CY_158,GBF,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,1,TRUE,FALSE
c pool,IPBES_GA_4_34_176_371,IPBES,Ecosystem services,NA,Nature contribution,NA,0,FALSE,TRUE
c-haines index,IPCC_12_43_643_387,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
caloric intake,IPBES_GA_2_22_28_84;IPBES_GA_2_24_29_89,IPBES,Human well-being,NA,Healthy living conditions,NA,0,FALSE,TRUE
carbon sequestration,IPBES_GA_2.3_56_155_355,IPBES,Ecosystem services,NA,Nature contribution,NA,0,FALSE,TRUE
"carbon stocks and annual net ghg emissions, by landuse category, split by natural and non-natural land cover",GBF_T8_CY_186,GBF,Direct drivers,NA,Climate change,NA,1,TRUE,FALSE
carbon uptake by land and ocean,IPCC_4_8_220_172,IPCC,Ecosystem services,ecosystems,Nature contribution,State of ecosystems,0,FALSE,TRUE
catch per unit effort,IPBES_GA_2.3_40_140_278;IPBES_SUA_2_96_79_26;IPBES_SUA_2_97_80_43;IPBES_SUA_6_115_207_73,IPBES,Knowledge systems,Ecosystem services,ILK,Nature contribution,0,FALSE,TRUE
certified forest area,IPBES_GA2.1_sup_60,IPBES,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA,0,FALSE,TRUE
change in # days hi>41°c,IPCC_12_24_613_377,IPCC,ecosystems,ecosystems,Abiotic conditions,Change in ecosystems,0,FALSE,TRUE
change in # days tx>35°c,IPCC_12_24_613_376,IPCC,ecosystems,ecosystems,Abiotic conditions,Change in ecosystems,0,FALSE,TRUE
change in # droughts,IPCC_12_24_613_378,IPCC,ecosystems,ecosystems,Abiotic conditions,Change in ecosystems,0,FALSE,TRUE
change in # soil moisture,IPCC_12_24_613_379,IPCC,ecosystems,ecosystems,Abiotic conditions,Change in ecosystems,0,FALSE,TRUE
change in extreme total water level,IPCC_12_24_613_381,IPCC,ecosystems,ecosystems,Abiotic conditions,Change in ecosystems,0,FALSE,TRUE
change in mean wind,IPCC_12_24_613_380,IPCC,ecosystems,ecosystems,Abiotic conditions,Change in ecosystems,0,FALSE,TRUE
change in the extent of inland water ecosystems over time,GBF_GA_CY_21,GBF,ecosystems,NA,State of ecosystems,Change in ecosystems,1,TRUE,FALSE
change in the extent of water-related ecosystems over time,GBF_GA_C_9;SDG_G6.6.1_91;IPBES_SUA_sup_6.6.1_36,GBF,ecosystems,NA,State of ecosystems,Change in ecosystems,1,TRUE,FALSE
change in the extent of water-related ecosystems over time,GBF_GA_C_9;SDG_G6.6.1_91;IPBES_SUA_sup_6.6.1_36,SDG,ecosystems,NA,State of ecosystems,Change in ecosystems,1,TRUE,FALSE
change in the extent of water-related ecosystems over time,GBF_GA_C_9;SDG_G6.6.1_91;IPBES_SUA_sup_6.6.1_36,IPBES,ecosystems,NA,State of ecosystems,Change in ecosystems,1,FALSE,TRUE
change in the quality of coastal water ecosystems over time,GBF_GB_CY_70,GBF,ecosystems,NA,State of ecosystems (freshwater/coastal),Change in ecosystems,1,TRUE,FALSE
change in the quality of inland water ecosystems over time,GBF_GB_CY_69,GBF,ecosystems,NA,State of ecosystems,Change in ecosystems,1,TRUE,FALSE
change in water-use efficiency over time,GBF_T14_CY_213;SDG_G6.4.1_87;IPBES_SUA_sup_6.4.1_32,GBF,Human assets,NA,Infrastructure (build-up area),NA,1,TRUE,FALSE
change in water-use efficiency over time,GBF_T14_CY_213;SDG_G6.4.1_87;IPBES_SUA_sup_6.4.1_32,SDG,Human assets,NA,Infrastructure (build-up area),NA,1,TRUE,FALSE
change in water-use efficiency over time,GBF_T14_CY_213;SDG_G6.4.1_87;IPBES_SUA_sup_6.4.1_32,IPBES,Human assets,NA,Infrastructure (build-up area),NA,1,FALSE,TRUE
changes in crop phenology,IPBES_GA_2.3_22_127_258,IPBES,Knowledge systems,Ecosystem services,ILK,Nature contribution,0,FALSE,TRUE
changes in evapotranspiration demand,IPCC_12_17_599_345,IPCC,ecosystems,ecosystems,Abiotic conditions,Change in ecosystems,0,FALSE,TRUE
changes in groundwater,IPCC_12_17_599_346,IPCC,ecosystems,ecosystems,Abiotic conditions,Change in ecosystems,0,FALSE,TRUE
changes in land versus sea surface temperature,IPCC_2_31_65_81,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
changes in low flows,IPCC_11_60_550_319,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
changes in mean precipitation,IPCC_4_49_249_186,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
changes in mean streamflow,IPCC_11_60_550_320,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
changes in observed cloud cover,IPCC_2_51_79_85,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
changes in phytoplankton phenology,IPCC_2_76_122_121,IPCC,biodiversity,NA,Change in biodiversity,NA,0,FALSE,TRUE
changes in plankton biomass and abundance,GBF_GA_CY_40,GBF,biodiversity,NA,Change in biodiversity,NA,1,TRUE,FALSE
changes in precipitation,IPCC_12_17_599_344,IPCC,ecosystems,ecosystems,Abiotic conditions,Change in ecosystems,0,FALSE,TRUE
changes in precipitation frequency and intensity,IPCC_8_27_367_231,IPCC,ecosystems,Direct drivers,Abiotic conditions,Climate change,0,FALSE,TRUE
changes in soil moisture,IPCC_12_17_599_340,IPCC,ecosystems,ecosystems,Abiotic conditions,Change in ecosystems,0,FALSE,TRUE
changes in surface water,IPCC_12_17_599_341,IPCC,ecosystems,ecosystems,Abiotic conditions,Change in ecosystems,0,FALSE,TRUE
"changes in terrestrial, marine and freshwater vertebrate populations",GEO_21_10_246_215,GEO,biodiversity,NA,Change in biodiversity,NA,0,FALSE,TRUE
"changes in the number of warm nights, warm days, cold nights, and cold days",IPCC_11_40_526_283,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
changing range of wild species,IPBES_GA_2.2_6_56_143,IPBES,biodiversity,NA,Change in biodiversity,NA,0,FALSE,TRUE
changing status of evolutionary distinct and globally endangered species (edge index),GBF_T4_CY_148,GBF,biodiversity,NA,State of biodiversity,Change in biodiversity,1,TRUE,FALSE
chemical contaminants,GEO_23_24_263_248,GEO,Direct drivers,NA,Pollution,NA,0,FALSE,TRUE
child mortality,IPBES_GA_2_22_28_83;GEO_22_21_257_235,IPBES,Human well-being,NA,Healthy living conditions,NA,0,FALSE,TRUE
child mortality,IPBES_GA_2_22_28_83;GEO_22_21_257_235,GEO,Human well-being,NA,Healthy living conditions,NA,0,FALSE,TRUE
child mortality rate,IPBES_GA2.1_sup_22,IPBES,Human well-being,Human assets,Healthy living conditions,Information on society and socio-economics,0,FALSE,TRUE
childhood undernutrition,GEO_21_17_251_223,GEO,Human well-being,NA,Healthy living conditions,NA,0,FALSE,TRUE
circulation,IPCC_2_26_47_66,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
circulation index,IPCC_4_8_221_176,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
cites parties that have implemented relevant resolutions and decisions,IPBES_SUA_4_68_125_54,IPBES,Governance,NA,Nature-based legislation,NA,0,FALSE,TRUE
city biodiversity index,IPBES_GA_3_115_417_493;GEO_13_14_128_114,IPBES,biodiversity,NA,State of biodiversity,NA,0,FALSE,TRUE
city biodiversity index,IPBES_GA_3_115_417_493;GEO_13_14_128_114,GEO,biodiversity,NA,State of biodiversity,NA,0,FALSE,TRUE
climate related loss events,GEO_2_28_8_19,GEO,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
climate risk index,IPBES_VA_6_64_156_83,IPBES,Direct drivers,NA,Natural drivers,NA,0,FALSE,TRUE
climate velocity,IPCC_12_14_593_331,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
climatic impact index,GBF_GB_CY_64;IPBES_GA_3_35_362_442,GBF,Direct drivers,NA,Climate change,NA,1,TRUE,FALSE
climatic impact index,GBF_GB_CY_64;IPBES_GA_3_35_362_442,IPBES,Direct drivers,NA,Climate change,NA,1,FALSE,TRUE
climatic impact index for birds,IPBES_GA_3_72_395_480;IPBES_GA3_sup_39,IPBES,Direct drivers,biodiversity,Climate change,Change in biodiversity,0,FALSE,TRUE
climatic impact-driver (cid) duration,IPCC_12_22_609_373,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
climatic impact-driver (cid) frequency,IPCC_12_22_609_372,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
climatic impact-driver (cid) magnitude,IPCC_12_22_609_371,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
climatic impact-driver (cid) spatial extent,IPCC_12_22_609_375,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
climatic impact-driver (cid) timing,IPCC_12_22_609_374,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
clorophyll concentration,IPCC_2_75_119_117,IPCC,ecosystems,NA,State of ecosystems (marine),NA,0,FALSE,TRUE
cms connectivity indicator,GBF_GA_CY_49,GBF,biodiversity,NA,State of biodiversity,NA,1,TRUE,FALSE
"cms national report format question, to ask about progress in implementing target 4",CMS_G1.4_6,CMS,Governance,NA,Nature-based legislation,NA,1,TRUE,FALSE
co2 concentration,IPCC_4_79_266_194;GEO_7_7_63_85,IPCC,ecosystems,Direct drivers,Abiotic conditions,Climate change,0,FALSE,TRUE
co2 concentration,IPCC_4_79_266_194;GEO_7_7_63_85,GEO,ecosystems,Direct drivers,Abiotic conditions,Climate change,0,FALSE,TRUE
co2 emission per unit of value added,GBF_T14_CY_212;SDG_G9.4.1_123;IPBES_SUA_sup_9.4.1_65,GBF,Direct drivers,NA,Climate change,NA,1,TRUE,FALSE
co2 emission per unit of value added,GBF_T14_CY_212;SDG_G9.4.1_123;IPBES_SUA_sup_9.4.1_65,SDG,Direct drivers,NA,Climate change,NA,1,TRUE,FALSE
co2 emission per unit of value added,GBF_T14_CY_212;SDG_G9.4.1_123;IPBES_SUA_sup_9.4.1_65,IPBES,Direct drivers,NA,Climate change,NA,1,FALSE,TRUE
co2 emissions,IPBES_GA_3_123_420_494,IPBES,Direct drivers,NA,Climate change,NA,0,FALSE,TRUE
coastal carbon-rich habitat,IPBES_GA_2.2_37_70_171;IPBES_GA2.2_sup_4,IPBES,ecosystems,NA,State of ecosystems,NA,0,FALSE,TRUE
coastal protection habitats,IPBES_GA_2.2_37_70_166;IPBES_GA2.2_sup_5,IPBES,ecosystems,NA,Area conservation,NA,0,FALSE,TRUE
cold season temperatures,IPCC_12_19_604_363,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
cold spell duration index: annual count of days with at least six consecutive days when tn <10th percentile,IPCC_sup_12,IPCC,Direct drivers,ecosystems,Climate change,Abiotic conditions,0,FALSE,TRUE
combined extreme index (cei),IPCC_11_40_527_285,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
combined sea level due to storm surge and tide,IPCC_12_45_645_389,IPCC,ecosystems,ecosystems,Abiotic conditions,State of ecosystems,0,FALSE,TRUE
commercial trade in wild-collected specimens,IPBES_SUA_4_71_127_56,IPBES,Ecosystem services,NA,Nature contribution,NA,0,FALSE,TRUE
commodity index,IPBES_GA_6_137_288_401,IPBES,Human assets,NA,State of economy,NA,0,FALSE,TRUE
community awareness,GEO_17_8_200_173,GEO,Knowledge systems,NA,Specific information on human-nature relationship,NA,0,FALSE,TRUE
companies with policies for biodiversity-friendly practices,IPBES_VA_4_28_109_66,IPBES,Knowledge systems,NA,Specific information on human-nature relationship,NA,0,FALSE,TRUE
comparison of the number of available first records of established alien species for a region with the total number of species recorded for the same region,IPBES_IAS_2_14_17_13,IPBES,Knowledge systems,NA,Information on biodiversity,NA,0,FALSE,TRUE
complete phase-out of biomass use for cooking,GEO_22_21_257_241,GEO,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,0,FALSE,TRUE
"completion rate (primary education, lower secondary education, upper secondary education)",SDG_G4.1.2_57,SDG,Human assets,Human well-being,Coverage of basic needs,Equity,1,TRUE,FALSE
comprehensiveness of conservation of socioeconomically as well as culturally valuable species,GBF_GA_CY_45,GBF,biodiversity,Human assets,Species conservation,Information on biodiversity,1,TRUE,FALSE
concentration of hydrogen ions (h+),IPBES_IAS_4_8_100_29,IPBES,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
condition and size of wild animals,IPBES_GA_2.2_65_113_239,IPBES,biodiversity,NA,State of biodiversity,NA,0,FALSE,TRUE
"conflict-related deaths per 100,000 population, by sex, age and cause",SDG_G16.1.2_213,SDG,Knowledge systems,Governance,Information on society and socio-economics,Broken governance,1,TRUE,FALSE
connection to land,IPBES_GA_2.3_36_133_262,IPBES,Knowledge systems,NA,ILK,NA,0,FALSE,TRUE
connection to sea,IPBES_GA_2.3_36_133_263,IPBES,Knowledge systems,NA,ILK,NA,0,FALSE,TRUE
connectivity indicator,GBF_T3_C_22,GBF,ecosystems,NA,State of ecosystems (configuration),NA,1,TRUE,FALSE
consecutive dry days (cdd),IPCC_11_58_543_294;IPCC_11_93_579_327;IPCC_12_17_601_349;IPCC_12_57_665_400,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
conservation status of species listed in the cites appendices has stabilized or improved,GBF_T4_C_29,GBF,biodiversity,NA,Species conservation,NA,1,TRUE,FALSE
container port traffic (teu: 20 foot equivalent units),IPBES_GA2.1_sup_37,IPBES,Human assets,NA,Infrastructure (build-up area),NA,0,FALSE,TRUE
continuous global mangrove forest area,GBF_GA_CY_8,GBF,ecosystems,NA,State of ecosystems (configuration),NA,1,TRUE,FALSE
contrast of mean precipitation between dry and wet regions and between dry and wet seasons,IPCC_4_49_249_187,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
convective available potential energy and wind shear,IPCC_12_66_684_408,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
convention of fishing and conservation of the living resources of the high seas,IPBES_GA2.1_sup_62,IPBES,Governance,NA,National/international cooperation,NA,0,FALSE,TRUE
convention on biological diversity,IPBES_GA2.1_sup_64,IPBES,Governance,NA,National/international cooperation,NA,0,FALSE,TRUE
convention on the conservation of antarctic marine living resources,IPBES_GA2.1_sup_65,IPBES,Governance,NA,National/international cooperation,NA,0,FALSE,TRUE
cooling degree day index,IPCC_12_54_662_395,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
cooling degree days,IPCC_12_46_648_391;IPCC_sup_42,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
coral bleaching,GEO_7_7_63_83,GEO,ecosystems,Direct drivers,Change in ecosystems,Climate change,0,FALSE,TRUE
correlation between high cultural diversity and areas of high biodiversity,IPBES_GA_2.3_71_160_359,IPBES,Knowledge systems,NA,Specific information on human-nature relationship,NA,0,FALSE,TRUE
corruption perception index,IPBES_VA_3_27_60_48,IPBES,Governance,NA,Broken governance,NA,0,FALSE,TRUE
costs associated with maintaining ncps of past or future projects,IPBES_VA_3_76_86_60,IPBES,Governance,NA,Nature-based funding,NA,0,FALSE,TRUE
costs associated with protecting nature and biodiversity,IPBES_VA_3_76_86_59,IPBES,Governance,NA,Nature-based funding,NA,0,FALSE,TRUE
cover of key benthic groups,GBF_GA_CY_18,GBF,biodiversity,NA,State of biodiversity,NA,1,TRUE,FALSE
coverage by protected areas of important sites for mountain biodiversity,IPBES_GA_3_72_395_479,IPBES,ecosystems,NA,Area conservation,NA,0,FALSE,TRUE
coverage of essential health services,SDG_G3.8.1_44,SDG,Human well-being,NA,Wellness,NA,1,TRUE,FALSE
coverage of fisheries with management measures to reduce bycatch and discards,IPBES_GA_1_52_19_53,IPBES,biodiversity,Ecosystem services,Species conservation,Specific mention of sustainable use of species/ecosystems,0,FALSE,TRUE
coverage of key habitats for migratory species in protected areas,CMS_G3.10_18,CMS,ecosystems,Governance,Area conservation,Nature-based legislation,1,TRUE,FALSE
coverage of protected areas and other effective area-based conservation measures,GBF_T3_H_18,GBF,ecosystems,NA,Area conservation,NA,1,TRUE,FALSE
coverage of protected areas and other effective area-based conservation measures and traditional territories (by governance type),GBF_T3_CY_139,GBF,ecosystems,NA,Area conservation,NA,1,TRUE,FALSE
coverage of protected areas in relation to marine areas,GEO_14_14_147_123,GEO,ecosystems,NA,Area conservation,NA,0,FALSE,TRUE
"coverage of treatment interventions (pharmacological, psychosocial and rehabilitation and aftercare services) for substance use disorders",SDG_G3.5.1_39,SDG,Human well-being,NA,Wellness,NA,1,TRUE,FALSE
coverage of wetland dependent bird populations by designated ramsar sites,RAMSAR_SG2.5_18,RAMSAR,ecosystems,NA,Area conservation,NA,1,TRUE,FALSE
coverage of wetland dependent non-avian populations by designated ramsar sites,RAMSAR_SG2.5_19,RAMSAR,ecosystems,NA,Area conservation,NA,1,TRUE,FALSE
"credit to agriculture, forestry and fishing",IPBES_GA2.1_sup_66,IPBES,Governance,NA,Nature detrimental legislation,NA,0,FALSE,TRUE
crops and their dietary roles,IPBES_GA_2.3_22_127_255,IPBES,Knowledge systems,Ecosystem services,ILK,Nature contribution,0,FALSE,TRUE
cross-natrional comparative information on access to and ownership of land,GEO_3_10_20_30,GEO,Human well-being,NA,Equity,NA,0,FALSE,TRUE
cultivated area,IPBES_GA_2.3_39_137_269,IPBES,ecosystems,NA,State of ecosystems,NA,0,FALSE,TRUE
cultural continuity,IPBES_SUA_2_95_77_23,IPBES,Knowledge systems,NA,ILK,NA,0,FALSE,TRUE
cultural vitality index,GBF_GB_CY_86,GBF,Human well-being,NA,Cultural diversity,NA,1,TRUE,FALSE
culturally salient species,IPBES_GA_2.2_5_55_131;IPBES_GA_2.2_65_113_233,IPBES,Knowledge systems,NA,ILK,NA,0,FALSE,TRUE
cumulative ghg emissions,IPCC_1_58_23_23,IPCC,Direct drivers,NA,Climate change,NA,0,FALSE,TRUE
cumulative human impacts on marine ecosystems,IPBES_GA_4_155_228_381,IPBES,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,0,FALSE,TRUE
cumulative introduced invasive aliens,IPBES_GA_2.2_37_70_188;IPBES_GA_2.2_37_70_189;IPBES_GA2.2_sup_49;IPBES_GA2.2_sup_50,IPBES,Direct drivers,NA,Invasive alien species,NA,0,FALSE,TRUE
cumulative storm energy and storm power index,IPCC_12_20_606_370,IPCC,Ecosystem services,ecosystems,Nature contribution,Abiotic conditions,0,FALSE,TRUE
current distribution of species,IPBES_IAS_2_155_79_18,IPBES,biodiversity,NA,State of biodiversity,NA,0,FALSE,TRUE
