error,indicator_harmonized,indic_ids,sources,policy,Categories,Subcategories,Categories_2,Subcategories_2
,number of notifications to the parties issued by the cites secretariat relating to international actions for sustainable development that may have a bearing on achieving the goal of cites,CITES_G4.4.3_45,CITES,1,Governance,National/international cooperation,Ecosystem services,Specific mention of sustainable use of species/ecosystems
,number of parties cooperating / collaborating with intergovernmental and non-governmental organizations to participate in and/or fund cites workshops and other training and capacity-building activities,CITES_G5.1.2_47,CITES,1,Governance,National/international cooperation,NA,NA
,number of parties funded by international financial mechanisms and other related institutions to develop activities that include cites-related conservation and sustainable development elements,CITES_G5.3.1_52,CITES,1,Governance,Nature-based funding,NA,NA
,"number of parties incorporating cites into their national biodiversity strategy and action plan (nbsap), also included in the global and national strategies for plant conservation under cbd programme",CITES_G4.2.1_37,CITES,1,Governance,National/international cooperation,NA,NA
,number of parties making use of the simplified procedures provided for in resolution conf. 12.3 (rev. cop19),CITES_G3.1.2_22,CITES,1,Governance,National/international cooperation,NA,NA
,number of parties meeting their obligations with regard to their assessed contributions to the trust fund,CITES_G3.3.1_26,CITES,1,Governance,National/international cooperation,NA,NA
,number of parties reporting in implementation reports of activities taken to address corruption,CITES_G3.6.1_30,CITES,1,Governance,Broken governance,NA,NA
,"number of parties sharing information relevant to the implementation of cites (e.g. shared databases, data visualization/software, information-sharing focused tools, etc.)",CITES_G2.2.5_14,CITES,1,Governance,National/international cooperation,NA,NA
,number of parties subject to cites recommendations to suspend trade,CITES_G1.1.2_2,CITES,1,Governance,Nature-based legislation,NA,NA
,number of parties that are in category 1 under the national legislation project,CITES_G1.1.1_1,CITES,1,Governance,Nature-based legislation,NA,NA
,number of parties that currently lack information for their identified key species most relevant to the implementation of the convention and need assistance to address them,CITES_G2.5.2_20,CITES,1,Governance,Nature-based legislation,Knowledge systems,Information on biodiversity
,number of parties that have adopted an electronic system for the issuance of permits,CITES_G3.1.3_23,CITES,1,Governance,Legislation/governance,NA,NA
,number of parties that have adopted standard procedures for making non-detriment findings (ndfs),CITES_G2.1.1_7,CITES,1,Governance,Nature-based legislation,NA,NA
,number of parties that have adopted standard transparent procedures for the timely issuance of permits in accordance with article vi of the convention,CITES_G3.1.1_21,CITES,1,Governance,Nature-based legislation,NA,NA
,"number of parties that have designated at least one management authority, independent scientific authority and enforcement focal points in place",CITES_G1.2.1_3,CITES,1,Governance,Nature-based legislation,Knowledge systems,Information on society and socio-economics
,number of parties that have implemented relevant reporting under resolutions and decisions of the conference of the parties and/or standing committee recommendations,CITES_G1.3.1_4,CITES,1,Governance,Nature-based legislation,NA,NA
,"number of parties that have included the legal acquisition finding obligation in their national regulatory framework, as recommended by resolution conf. 18.7 (rev. cop19)",CITES_G2.1.3_9,CITES,1,Governance,Nature-based legislation,NA,NA
,number of parties that have undertaken research (including for non-detriment findings) on their identified key species most relevant to the implementation of the convention,CITES_G2.5.1_19,CITES,1,Governance,Nature-based legislation,Knowledge systems,Information on society and socio-economics
,"number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement",SDG_G12.4.1_165,SDG,1,Governance,Nature-based legislation,NA,NA
,number of parties where criminal offences relating to illegal trade in wildlife (such as illegal hunting/harvest and wildlife trafficking) are recognized as a serious crime,CITES_G3.4.1_28,CITES,1,Governance,Broken governance,NA,NA
,number of parties which have acceded to the ramsar convention,RAMSAR_OG4.18_68,RAMSAR,1,Governance,National/international cooperation,NA,NA
,"number of parties which report that they have achieved synergies in their implementation of cites, other biodiversity-related conventions and other relevant multilateral environmental, trade and development agreements",CITES_G5.1.1_46,CITES,1,Governance,National/international cooperation,NA,NA
,number of parties who report improvements in their implementation following targeted capacity-building efforts,CITES_G3.7.2_32,CITES,1,Governance,National/international cooperation,NA,NA
,number of parties with information on cites and its requirements on their official websites,CITES_G4.3.2_39,CITES,1,Knowledge systems,Specific information on human-nature relationship,NA,NA
,"number of parties with training programmes and information resources in place to implement cites, including the making of non-detriment and legal acquisition findings, issuance of permits and enforcement",CITES_G3.2.1_24,CITES,1,Governance,National/international cooperation,NA,NA
,number of people living on less than 1.90 usd per day,GEO_21_8_241,GEO,0,Human assets,State of economy,NA,NA
,number of people migrating,IAS_2_5_11,IPBES,0,Knowledge systems,Information on society and socio-economics,NA,NA
,number of people requiring interventions against neglected tropical diseases,SDG_G3.3.5_36,SDG,1,Human well-being,Healthy living conditions,Direct drivers,(Infectious) diseases
,"number of people using wild resources for energy, food or culture (including firewood collection, hunting and fishing, gathering, medicinal use, craft making, etc.)",GBF_T9_C_44,GBF,1,Human assets,Infrastructure (build-up area),Ecosystem services,Specific mention of sustainable use of species/ecosystems
,number of people who died or disappeared in the process of migration towards an international destination,SDG_G10.7.3_138,SDG,1,Governance,Broken governance,NA,NA
,number of people who died or disappeared in the process of migration towards an international destinationi,IPBES_SUA_sup_10.7.3_76,IPBES,0,Governance,Broken governance,NA,NA
